# Header information on force file

1_1
N 2000  R        0.005000       10.000000
  151      0.75500000    385.35205900    408.00251500
  152      0.76000000    383.30663100    406.91935200
  153      0.76500000    381.28286600    405.83619000
  154      0.77000000    379.25910000    404.75302700
  155      0.77500000    377.23533500    403.66986500
  156      0.78000000    375.21157000    402.58670200
  157      0.78500000    373.20946800    401.50353900
  158      0.79000000    371.20736700    400.42037700
  159      0.79500000    369.20526500    399.33721500
  160      0.80000000    367.20316300    398.25405200
  161      0.80500000    365.22272400    397.17089000
  162      0.81000000    363.24228500    396.08772700
  163      0.81500000    361.26184700    395.00456500
  164      0.82000000    359.28140800    393.92140200
  165      0.82500000    357.32263300    392.83823900
  166      0.83000000    355.36385700    391.75507700
  167      0.83500000    353.40508200    390.67191400
  168      0.84000000    351.44630700    389.58875200
  169      0.84500000    349.50919500    388.50558900
  170      0.85000000    347.57208200    387.42242700
  171      0.85500000    345.63497000    386.33926500
  172      0.86000000    343.69785800    385.25610200
  173      0.86500000    341.78240900    384.17294000
  174      0.87000000    339.86696100    383.08977700
  175      0.87500000    337.95151200    382.00661500
  176      0.88000000    336.03606300    380.92345300
  177      0.88500000    334.14227700    379.84029100
  178      0.89000000    332.24849200    378.75712800
  179      0.89500000    330.35470600    377.67396600
  180      0.90000000    328.46092000    376.59080300
  181      0.90500000    326.58879800    375.50764000
  182      0.91000000    324.71667500    374.42447800
  183      0.91500000    322.84455300    373.34131600
  184      0.92000000    320.97243100    372.25815300
  185      0.92500000    319.12197200    371.17499000
  186      0.93000000    317.27151200    370.09182800
  187      0.93500000    315.42105300    369.00866600
  188      0.94000000    313.57059400    367.92550300
  189      0.94500000    311.74179800    366.84234000
  190      0.95000000    309.91300200    365.75917800
  191      0.95500000    308.08420600    364.67601500
  192      0.96000000    306.25541000    363.59285300
  193      0.96500000    304.44827800    362.50969000
  194      0.97000000    302.64114500    361.42652800
  195      0.97500000    300.83401200    360.34336600
  196      0.98000000    299.02688000    359.26020300
  197      0.98500000    297.24141100    358.17704100
  198      0.99000000    295.45594100    357.09387800
  199      0.99500000    293.67047100    356.01071600
  200      1.00000000    291.88500200    354.92755400
  201      1.00500000    290.12119600    353.84439100
  202      1.01000000    288.35739000    352.76122900
  203      1.01500000    286.59358400    351.67806600
  204      1.02000000    284.82977800    350.59490400
  205      1.02500000    283.08763500    349.51174100
  206      1.03000000    281.34549200    348.42857900
  207      1.03500000    279.60334900    347.34541600
  208      1.04000000    277.86120600    346.26225400
  209      1.04500000    276.14072700    345.17909200
  210      1.05000000    274.42024700    344.09592900
  211      1.05500000    272.69976800    343.01276600
  212      1.06000000    270.97928800    341.92960400
  213      1.06500000    269.28047200    340.84644100
  214      1.07000000    267.58165500    339.76327900
  215      1.07500000    265.88283900    338.68011600
  216      1.08000000    264.18402200    337.59695400
  217      1.08500000    262.50686900    336.51379200
  218      1.09000000    260.82971600    335.43062900
  219      1.09500000    259.15256200    334.34746600
  220      1.10000000    257.47540900    333.26430400
  221      1.10500000    255.81991900    332.18114200
  222      1.11000000    254.16443000    331.09797900
  223      1.11500000    252.50894000    330.01481700
  224      1.12000000    250.85345000    328.93165500
  225      1.12500000    249.21962300    327.84849300
  226      1.13000000    247.58579600    326.76533000
  227      1.13500000    245.95197000    325.68216700
  228      1.14000000    244.31814300    324.59900500
  229      1.14500000    242.70598000    323.51584200
  230      1.15000000    241.09381600    322.43268000
  231      1.15500000    239.48165300    321.34951700
  232      1.16000000    237.86949000    320.26635500
  233      1.16500000    236.27899000    319.18319200
  234      1.17000000    234.68849000    318.10003000
  235      1.17500000    233.09798900    317.01686700
  236      1.18000000    231.50748900    315.93370500
  237      1.18500000    229.93865200    314.85054200
  238      1.19000000    228.36981500    313.76738000
  239      1.19500000    226.80097800    312.68421700
  240      1.20000000    225.23214100    311.60105500
  241      1.20500000    223.68496700    310.51789200
  242      1.21000000    222.13779400    309.43473000
  243      1.21500000    220.59062000    308.35156700
  244      1.22000000    219.04344700    307.26840500
  245      1.22500000    217.51793600    306.18524200
  246      1.23000000    215.99242600    305.10208000
  247      1.23500000    214.46691500    304.01891700
  248      1.24000000    212.94140500    302.93575500
  249      1.24500000    211.43755800    301.85259300
  250      1.25000000    209.93371100    300.76943000
  251      1.25500000    208.42986400    299.68626800
  252      1.26000000    206.92601700    298.60310600
  253      1.26500000    205.44383300    297.51994400
  254      1.27000000    203.96164900    296.43678100
  255      1.27500000    202.47946500    295.35361800
  256      1.28000000    200.99728100    294.27045600
  257      1.28500000    199.53676000    293.18729400
  258      1.29000000    198.07623900    292.10413100
  259      1.29500000    196.61571900    291.02096900
  260      1.30000000    195.15519800    289.93780600
  261      1.30500000    193.71634100    288.85464400
  262      1.31000000    192.27748400    287.77148100
  263      1.31500000    190.83862600    286.68831900
  264      1.32000000    189.39976900    285.60515600
  265      1.32500000    187.98257500    284.52199400
  266      1.33000000    186.56538100    283.43883100
  267      1.33500000    185.14818600    282.35566900
  268      1.34000000    183.73099200    281.27250600
  269      1.34500000    182.33546100    280.18934400
  270      1.35000000    180.93993100    279.10618100
  271      1.35500000    179.54440000    278.02301900
  272      1.36000000    178.14886900    276.93985600
  273      1.36500000    176.77500100    275.85669400
  274      1.37000000    175.40113300    274.77353100
  275      1.37500000    174.02726600    273.69036900
  276      1.38000000    172.65339800    272.60720700
  277      1.38500000    171.30119400    271.52404500
  278      1.39000000    169.94898900    270.44088200
  279      1.39500000    168.59678400    269.35772000
  280      1.40000000    167.24458000    268.27455700
  281      1.40500000    165.91403900    267.19139500
  282      1.41000000    164.58349800    266.10823200
  283      1.41500000    163.25295700    265.02506900
  284      1.42000000    161.92241600    263.94190700
  285      1.42500000    160.61353800    262.85874400
  286      1.43000000    159.30466000    261.77558200
  287      1.43500000    157.99578200    260.69241900
  288      1.44000000    156.68690400    259.60925700
  289      1.44500000    155.39968900    258.52609400
  290      1.45000000    154.11247500    257.44293200
  291      1.45500000    152.82526000    256.35976900
  292      1.46000000    151.53804500    255.27660700
  293      1.46500000    150.27249400    254.19344400
  294      1.47000000    149.00694300    253.11028200
  295      1.47500000    147.74139100    252.02711900
  296      1.48000000    146.47584000    250.94395700
  297      1.48500000    145.23195200    249.86079500
  298      1.49000000    143.98806400    248.77763300
  299      1.49500000    142.74417500    247.69447000
  300      1.50000000    141.50028700    246.61130800
  301      1.50500000    140.27806200    245.52814500
  302      1.51000000    139.05583700    244.44498300
  303      1.51500000    137.83361200    243.36182000
  304      1.52000000    136.61138700    242.27865800
  305      1.52500000    135.41082500    241.19549500
  306      1.53000000    134.21026400    240.11233300
  307      1.53500000    133.00970200    239.02917000
  308      1.54000000    131.80914100    237.94600800
  309      1.54500000    130.63024300    236.86284600
  310      1.55000000    129.45134400    235.77968300
  311      1.55500000    128.27244600    234.69652100
  312      1.56000000    127.09354700    233.61335800
  313      1.56500000    125.93631200    232.53019600
  314      1.57000000    124.77907700    231.44703300
  315      1.57500000    123.62184100    230.36387100
