# Header information on force file

1_1
N 2000  R        0.012511       25.022000
   48      0.60052800    208.69732400   1908.24464000
   49      0.61303900    207.31529600   1895.60492400
   50      0.62555000    205.93326800   1882.96520800
   51      0.63806100    204.55124000   1870.32549300
   52      0.65057200    203.16921100   1857.68577700
   53      0.66308300    201.78718300   1845.04606100
   54      0.67559400    200.40515500   1832.40634600
   55      0.68810500    199.02312700   1819.76663000
   56      0.70061600    197.64109900   1807.12691400
   57      0.71312700    196.25907000   1794.48719900
   58      0.72563800    194.87704200   1781.84748300
   59      0.73814900    193.49501400   1769.20776700
   60      0.75066000    192.11298600   1756.56805200
   61      0.76317100    190.73095700   1743.92833600
   62      0.77568200    189.34892900   1731.28862000
   63      0.78819300    187.96690100   1718.64890500
   64      0.80070400    186.58487300   1706.00918900
   65      0.81321500    185.20284400   1693.36947300
   66      0.82572600    183.82081600   1680.72975800
   67      0.83823700    182.43878800   1668.09004200
   68      0.85074800    181.05676000   1655.45032600
   69      0.86325900    179.67473100   1642.81061100
   70      0.87577000    178.29270300   1630.17089500
   71      0.88828100    176.91067500   1617.53117900
   72      0.90079200    175.52864700   1604.89146400
   73      0.91330300    174.14661800   1592.25174800
   74      0.92581400    172.76459000   1579.61203200
   75      0.93832500    171.38256200   1566.97231700
   76      0.95083600    170.00053400   1554.33260100
   77      0.96334700    168.61850500   1541.69288500
   78      0.97585800    167.23647700   1529.05317000
   79      0.98836900    165.85444900   1516.41345400
   80      1.00088000    164.47242100   1503.77373800
   81      1.01339100    163.09039300   1491.13402300
   82      1.02590200    161.70836400   1478.49430700
   83      1.03841300    160.32633600   1465.85459100
   84      1.05092400    158.94430800   1453.21487600
   85      1.06343500    157.56228000   1440.57516000
   86      1.07594600    156.18025100   1427.93544400
   87      1.08845700    154.79822300   1415.29572900
   88      1.10096800    153.41619500   1402.65601300
   89      1.11347900    152.03416700   1390.01629700
   90      1.12599000    150.65213800   1377.37658200
   91      1.13850100    149.27011000   1364.73686600
   92      1.15101200    147.88808200   1352.09715000
   93      1.16352300    146.50605400   1339.45743500
