Particle 68: Vec3(x=-0.24811887996622617, y=0.8382860182911942, z=0.8011349685198305) nm
Particle 69: Vec3(x=2.9198655799008706, y=0.758582894177149, z=0.8668651044981586) nm
Particle 70: Vec3(x=2.842773712344884, y=0.7154991617567892, z=0.9137760441123289) nm
Particle 71: Vec3(x=3.0020847499691334, y=0.7501160882136856, z=0.9231529501496516) nm
Particle 72: Vec3(x=3.016588986898907, y=0.7670209314104587, z=1.3372980808584198) nm
Particle 73: Vec3(x=3.1107309003328645, y=0.7625940655906391, z=1.3038660110446945) nm
Particle 74: Vec3(x=2.9598208773947285, y=0.8154558640131696, z=1.2707290238941238) nm
Particle 75: Vec3(x=-0.16374241335246592, y=0.639639033587851, z=1.4513360611656547) nm
Particle 76: Vec3(x=-0.23120835797585526, y=0.5805685120221395, z=1.4070752421938848) nm
Particle 77: Vec3(x=-0.07322755371249226, y=0.6214885070507212, z=1.412896252778983) nm
Particle 78: Vec3(x=-0.1422720501517455, y=0.6774777043512478, z=1.9702390298161663) nm
Particle 79: Vec3(x=-0.14517737003405567, y=0.6623405160967267, z=1.8714340453965943) nm
Particle 80: Vec3(x=-0.04913017198143747, y=0.7015350155754756, z=1.9975490390726893) nm
Particle 81: Vec3(x=-0.268632663834184, y=0.5336711989777552, z=2.299254943422077) nm
Particle 82: Vec3(x=-0.2369694327714316, y=0.4771958832222868, z=2.2230448469321096) nm
Particle 83: Vec3(x=-0.24948919439478498, y=0.4869462053193041, z=2.3855700802374913) nm
Particle 84: Vec3(x=-0.18759886716978857, y=0.7768862725707318, z=2.5440692136930254) nm
Particle 85: Vec3(x=-0.2621582139738178, y=0.7117105071800937, z=2.557962510923137) nm
Particle 86: Vec3(x=-0.17523407147091968, y=0.7930099578582464, z=2.4461552775138604) nm
Particle 87: Vec3(x=-0.3858129508480769, y=0.41799073446810747, z=3.0511320468835104) nm
Particle 88: Vec3(x=-0.47148443073655477, y=0.40481676014198326, z=3.0012637780926656) nm
Particle 89: Vec3(x=-0.3581891285777807, y=0.33163926371275954, z=3.093326219936085) nm
Particle 90: Vec3(x=2.8773077570530563, y=1.1490282819886048, z=2.91312209476977) nm
Particle 91: Vec3(x=2.7951605119201406, y=1.1789655287063716, z=2.8645876567483453) nm
Particle 92: Vec3(x=2.893603543127174, y=1.2091865668727526, z=2.991323299453889) nm
Particle 93: Vec3(x=-0.2476661414967224, y=0.948281327694067, z=0.25509398761392754) nm
Particle 94: Vec3(x=-0.24250626835586336, y=1.0479205622549144, z=0.24835611381562162) nm
Particle 95: Vec3(x=-0.22578944908708318, y=0.9076958032528292, z=0.16635715291115633) nm
Particle 96: Vec3(x=-0.1873406453532697, y=1.0051090412469885, z=0.7973280175642806) nm
Particle 97: Vec3(x=-0.13200592321073257, y=1.0669644594824086, z=0.8531131057003829) nm
Particle 98: Vec3(x=-0.24940222000501275, y=1.0585178718127377, z=0.7399184533143367) nm
Particle 99: Vec3(x=-0.00963634668153985, y=0.7807042140547613, z=1.074685265363486) nm
Particle 100: Vec3(x=0.013945803209802736, y=0.8518394653921262, z=1.0084760626670677) nm
Particle 101: Vec3(x=-0.08360429975931033, y=0.7242610712557886, z=1.0380394764310212) nm
Particle 102: Vec3(x=3.001849593663784, y=1.1738374410083972, z=1.5381176109783674) nm
Particle 103: Vec3(x=3.050471621432257, y=1.258295966212172, z=1.5156976146780026) nm
Particle 104: Vec3(x=3.065874259302894, y=1.0970411776054654, z=1.5363353609479418) nm
Particle 105: Vec3(x=-0.09875833826597835, y=0.9063449851527972, z=1.4924084688676982) nm
Particle 106: Vec3(x=-0.02435112979616267, y=0.9107663622726031, z=1.4257449927348331) nm
Particle 107: Vec3(x=-0.14670047040473413, y=0.8190806076014194, z=1.48310897024767) nm
Particle 108: Vec3(x=2.8245002194481947, y=0.9488898139975904, z=1.7892606663840762) nm
Particle 109: Vec3(x=2.8202278832834793, y=1.0476649606538122, z=1.7742534066488433) nm
Particle 110: Vec3(x=2.804937309277519, y=0.9012734469628667, z=1.7035286744901994) nm
Particle 111: Vec3(x=-0.13360674872442027, y=0.9941215847199778, z=2.0916218246101113) nm
Particle 112: Vec3(x=-0.11976282948957959, y=0.971974920746083, z=1.9950927022010174) nm
Particle 113: Vec3(x=-0.11840478074531784, y=1.091923576487222, z=2.1058931550997846) nm
Particle 114: Vec3(x=2.9453707211871896, y=0.8450345078923243, z=2.4280839824455653) nm
Particle 115: Vec3(x=2.906333217833475, y=0.8810836843598544, z=2.3433695769058653) nm
Particle 116: Vec3(x=3.039176474693974, y=0.8147213712252053, z=2.4113032002096775) nm
Particle 117: Vec3(x=3.0031737467535504, y=1.003689635868239, z=2.6405914556163115) nm
Particle 118: Vec3(x=3.0115233287247225, y=0.9347719371578715, z=2.7125680878200824) nm
Particle 119: Vec3(x=2.978676814585178, y=0.9591477130566866, z=2.5544757327510235) nm
Particle 120: Vec3(x=-0.19886481175661655, y=1.3813980768944003, z=3.1458853332292818) nm
Particle 121: Vec3(x=-0.11912180318996207, y=1.4416300530979411, z=3.1422573964357583) nm
Particle 122: Vec3(x=-0.17684980546743062, y=1.2942712763912345, z=3.1020189402821536) nm
Particle 123: Vec3(x=-0.1701442280318728, y=1.2130547791033703, z=0.2706532117698464) nm
Particle 124: Vec3(x=-0.1340942561636436, y=1.21108358127834, z=0.36390831460855283) nm
Particle 125: Vec3(x=-0.17956439868605648, y=1.30795249800467, z=0.2405586336834331) nm
Particle 126: Vec3(x=2.9323766153519477, y=1.2856188203585994, z=0.6321575546093834) nm
Particle 127: Vec3(x=2.961257484406937, y=1.380869683767713, z=0.6418099491553066) nm
Particle 128: Vec3(x=3.00618649344487, y=1.2252024351454425, z=0.6621902466583265) nm
