# Header information on force file

1_1
N 2000  R        0.007500       15.000000
  132      0.99000000    295.45594100    357.09387800
  133      0.99750000    292.77773700    355.46913500
  134      1.00500000    290.12119600    353.84439200
  135      1.01250000    287.47548700    352.21964800
  136      1.02000000    284.82977800    350.59490400
  137      1.02750000    282.21656400    348.97016000
  138      1.03500000    279.60334900    347.34541600
  139      1.04250000    277.00096600    345.72067300
  140      1.05000000    274.42024700    344.09592900
  141      1.05750000    271.83952800    342.47118500
  142      1.06500000    269.28047200    340.84644100
  143      1.07250000    266.73224700    339.22169800
  144      1.08000000    264.18402200    337.59695400
  145      1.08750000    261.66829200    335.97221000
  146      1.09500000    259.15256200    334.34746600
  147      1.10250000    256.64766400    332.72272300
  148      1.11000000    254.16443000    331.09798000
  149      1.11750000    251.68119500    329.47323600
  150      1.12500000    249.21962300    327.84849300
  151      1.13250000    246.76888300    326.22374900
  152      1.14000000    244.31814300    324.59900500
  153      1.14750000    241.89989800    322.97426100
  154      1.15500000    239.48165300    321.34951700
  155      1.16250000    237.07424000    319.72477400
  156      1.17000000    234.68849000    318.10003000
  157      1.17750000    232.30273900    316.47528600
  158      1.18500000    229.93865200    314.85054200
  159      1.19250000    227.58539700    313.22579900
  160      1.20000000    225.23214100    311.60105500
  161      1.20750000    222.91138100    309.97631100
  162      1.21500000    220.59062000    308.35156700
  163      1.22250000    218.28069200    306.72682400
  164      1.23000000    215.99242600    305.10208000
  165      1.23750000    213.70416000    303.47733600
  166      1.24500000    211.43755800    301.85259300
  167      1.25250000    209.18178800    300.22784900
  168      1.26000000    206.92601700    298.60310600
  169      1.26750000    204.70274100    296.97836200
  170      1.27500000    202.47946500    295.35361900
  171      1.28250000    200.26702100    293.72887500
  172      1.29000000    198.07623900    292.10413100
  173      1.29750000    195.88545800    290.47938700
  174      1.30500000    193.71634100    288.85464400
  175      1.31250000    191.55805500    287.22990000
  176      1.32000000    189.39976900    285.60515600
  177      1.32750000    187.27397800    283.98041200
  178      1.33500000    185.14818600    282.35566900
  179      1.34250000    183.03322700    280.73092500
  180      1.35000000    180.93993100    279.10618100
  181      1.35750000    178.84663400    277.48143700
  182      1.36500000    176.77500100    275.85669400
  183      1.37250000    174.71420000    274.23195000
  184      1.38000000    172.65339800    272.60720700
  185      1.38750000    170.62509100    270.98246300
  186      1.39500000    168.59678400    269.35772000
  187      1.40250000    166.57931000    267.73297600
  188      1.41000000    164.58349800    266.10823200
  189      1.41750000    162.58768600    264.48348800
  190      1.42500000    160.61353800    262.85874400
  191      1.43250000    158.65022100    261.23400100
