LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.6 on Mon Aug 08 19:28:00 CDT 2022
 512 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 1 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.003735 25.072535  xlo xhi
 -0.194845 24.873955  ylo yhi
 -0.028463 25.040337  zlo zhi

 Masses

 1 18.015400 #water

 Atoms

94 1 1 0.000000 5.112138 15.864867 14.011194 #  UNK
95 1 1 0.000000 23.637812 1.396380 16.552238 #  UNK
96 1 1 0.000000 22.034639 21.377161 3.941082 #  UNK
97 1 1 0.000000 17.057577 4.018741 4.372563 #  UNK
98 1 1 0.000000 10.010319 6.822638 8.303290 #  UNK
99 1 1 0.000000 13.571639 23.542372 14.233216 #  UNK
100 1 1 0.000000 8.890462 20.907156 1.096383 #  UNK
101 1 1 0.000000 13.299422 15.220372 2.044380 #  UNK
102 1 1 0.000000 12.726522 17.500061 6.388761 #  UNK
103 1 1 0.000000 11.381428 14.095856 20.415773 #  UNK
104 1 1 0.000000 25.009075 21.896526 24.115410 #  UNK
105 1 1 0.000000 7.215969 10.889873 24.736721 #  UNK
106 1 1 0.000000 9.082593 15.788472 4.223579 #  UNK
107 1 1 0.000000 3.420364 11.084450 1.718887 #  UNK
108 1 1 0.000000 7.792819 4.913414 14.120311 #  UNK
109 1 1 0.000000 19.978823 11.934850 23.325663 #  UNK
110 1 1 0.000000 0.845923 20.386915 6.788404 #  UNK
111 1 1 0.000000 0.496641 17.502350 7.553542 #  UNK
112 1 1 0.000000 8.217074 15.226428 0.942326 #  UNK
113 1 1 0.000000 22.573872 5.608450 9.011611 #  UNK
114 1 1 0.000000 7.027929 7.036549 0.000971 #  UNK
115 1 1 0.000000 4.832119 10.731411 10.727616 #  UNK
116 1 1 0.000000 6.623442 18.180407 17.412312 #  UNK
117 1 1 0.000000 10.794656 15.472156 18.404728 #  UNK
118 1 1 0.000000 21.392590 6.965821 15.765567 #  UNK
119 1 1 0.000000 19.638128 5.070047 11.808084 #  UNK
120 1 1 0.000000 2.324978 13.944867 2.414293 #  UNK
121 1 1 0.000000 5.535044 19.767651 19.929268 #  UNK
122 1 1 0.000000 21.443417 15.722217 12.186723 #  UNK
123 1 1 0.000000 14.865983 12.292656 18.718178 #  UNK
124 1 1 0.000000 14.527377 0.983629 10.549709 #  UNK
125 1 1 0.000000 23.664589 5.146821 24.313545 #  UNK
126 1 1 0.000000 1.599331 1.534079 3.264869 #  UNK
127 1 1 0.000000 0.678081 12.231900 20.144190 #  UNK
128 1 1 0.000000 23.446394 7.900465 24.996305 #  UNK
129 1 1 0.000000 2.515372 18.245516 9.319694 #  UNK
130 1 1 0.000000 18.968433 2.036558 17.959333 #  UNK
131 1 1 0.000000 22.437344 24.192083 15.882610 #  UNK
132 1 1 0.000000 17.173134 13.633828 19.311562 #  UNK
133 1 1 0.000000 23.846893 5.659899 21.406099 #  UNK
134 1 1 0.000000 19.424761 1.346119 5.274991 #  UNK
135 1 1 0.000000 19.395710 21.967321 6.817179 #  UNK
136 1 1 0.000000 16.983206 6.594931 21.948345 #  UNK
137 1 1 0.000000 0.283607 11.703327 10.222044 #  UNK
