# Header information on force file

1_1
N 2000  R        0.005000       10.000000
   68      0.34000000    237.47656300   2171.45300400
   69      0.34500000    236.92423800   2166.40156300
   70      0.35000000    236.37191200   2161.35012200
   71      0.35500000    235.81958700   2156.29868100
   72      0.36000000    235.26726200   2151.24724000
   73      0.36500000    234.71493700   2146.19579900
   74      0.37000000    234.16261100   2141.14435800
   75      0.37500000    233.61028600   2136.09291700
   76      0.38000000    233.05796100   2131.04147600
   77      0.38500000    232.50563600   2125.99003500
   78      0.39000000    231.95331000   2120.93859400
   79      0.39500000    231.40098500   2115.88715300
   80      0.40000000    230.84866000   2110.83571200
   81      0.40500000    230.29633500   2105.78427100
   82      0.41000000    229.74400900   2100.73283000
   83      0.41500000    229.19168400   2095.68138900
   84      0.42000000    228.63935900   2090.62994800
   85      0.42500000    228.08703400   2085.57850700
   86      0.43000000    227.53470800   2080.52706600
   87      0.43500000    226.98238300   2075.47562500
   88      0.44000000    226.43005800   2070.42418400
   89      0.44500000    225.87773300   2065.37274300
   90      0.45000000    225.32540700   2060.32130200
   91      0.45500000    224.77308200   2055.26986100
   92      0.46000000    224.22075700   2050.21842000
   93      0.46500000    223.66843200   2045.16697900
   94      0.47000000    223.11610600   2040.11553800
   95      0.47500000    222.56378100   2035.06409700
   96      0.48000000    222.01145600   2030.01265600
   97      0.48500000    221.45913100   2024.96121500
   98      0.49000000    220.90680500   2019.90977400
   99      0.49500000    220.35448000   2014.85833300
  100      0.50000000    219.80215500   2009.80689200
  101      0.50500000    219.24983000   2004.75545100
  102      0.51000000    218.69750400   1999.70401000
  103      0.51500000    218.14517900   1994.65256900
  104      0.52000000    217.59285400   1989.60112800
  105      0.52500000    217.04052900   1984.54968700
  106      0.53000000    216.48820300   1979.49824600
  107      0.53500000    215.93587800   1974.44680500
  108      0.54000000    215.38355300   1969.39536400
  109      0.54500000    214.83122800   1964.34392300
  110      0.55000000    214.27890200   1959.29248200
  111      0.55500000    213.72657700   1954.24104100
  112      0.56000000    213.17425200   1949.18960000
  113      0.56500000    212.62192700   1944.13815900
  114      0.57000000    212.06960100   1939.08671800
  115      0.57500000    211.51727600   1934.03527700
  116      0.58000000    210.96495100   1928.98383600
